"game_id","season","season_type","week","game_key","game_date","game_time_eastern","game_time_local","home_team_id","visitor_team_id","home_team_abbr","visitor_team_abbr","home_display_name","visitor_display_name","home_nickname","visitor_nickname","site_id","site_city","site_full_name","site_state","site_roof_type","network_channel","score_time","phase","phase_description","visitor_score_point_total","visitor_score_point_q1","visitor_score_point_q2","visitor_score_point_q3","visitor_score_point_q4","visitor_score_point_ot","visitor_timeouts_remaining","home_score_point_total","home_score_point_q1","home_score_point_q2","home_score_point_q3","home_score_point_q4","home_score_point_ot","home_timeouts_remaining","validated","spread_line","total_line"
2023121001,2023,"REG",14,59368,"12/10/2023","13:00:00",NULL,"0325","2510","BAL","LA","Baltimore Ravens","Los Angeles Rams","Ravens","Rams",3695,"Baltimore","M&T Bank Stadium","MD","OUTDOOR","FOX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023121101,2023,"REG",14,59380,"12/11/2023","20:15:00",NULL,"3410","1800","NYG","GB","New York Giants","Green Bay Packers","Giants","Packers",3757,"East Rutherford","MetLife Stadium","NJ","OUTDOOR","ABC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
NULL,2023,"REG",15,59382,NULL,NULL,NULL,"0750","0200","CAR","ATL","Carolina Panthers","Atlanta Falcons","Panthers","Falcons",1769,"Charlotte","Bank of America Stadium","NC","OUTDOOR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2023,"REG",15,59385,NULL,NULL,NULL,"1540","1400","DET","DEN","Detroit Lions","Denver Broncos","Lions","Broncos",2026,"Detroit","Ford Field","MI","INDOOR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023122502,2023,"REG",16,59412,"12/25/2023","20:15:00",NULL,"4500","0325","SF","BAL","San Francisco 49ers","Baltimore Ravens","49ers","Ravens",2099,"Santa Clara","Levi's Stadium","CA","OUTDOOR","ABC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023110900,2023,"REG",10,59309,"11/09/2023","20:15:00",NULL,"0810","0750","CHI","CAR","Chicago Bears","Carolina Panthers","Bears","Panthers",4620,"Chicago","Soldier Field","IL","OUTDOOR","Prime Video",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023112700,2023,"REG",12,59352,"11/27/2023","20:15:00",NULL,"3000","0810","MIN","CHI","Minnesota Vikings","Chicago Bears","Vikings","Bears",1652,"Minneapolis","U.S. Bank Stadium","MN","INDOOR","ABC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023120301,2023,"REG",13,59355,"12/03/2023","13:00:00",NULL,"3300","1540","NO","DET","New Orleans Saints","Detroit Lions","Saints","Lions",2870,"New Orleans","Caesars Superdome","LA","INDOOR","FOX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023121000,2023,"REG",14,59367,"12/10/2023","13:00:00",NULL,"0200","4900","ATL","TB","Atlanta Falcons","Tampa Bay Buccaneers","Falcons","Buccaneers",2076,"Atlanta","Mercedes-Benz Stadium","GA","INDOOR","CBS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NaN",NULL
2023122402,2023,"REG",16,59400,"12/24/2023","13:00:00",NULL,"0200","2200","ATL","IND","Atlanta Falcons","Indianapolis Colts","Falcons","Colts",2076,"Atlanta","Mercedes-Benz Stadium","GA","INDOOR","FOX",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
